SCHOOLJAAR 2013-2014 IN HET MBO (peildatum 1 oktober 2013);;;;;SCHOOLJAAR 2014-2015 IN HET HBO (peildatum 1 oktober 2014);;;
BRIN NUMMER ;INSTELLINGSNAAM ;MBO SECTOR;LEERWEG MBO;KWALIFICATIENIVEAU;BRIN NUMMER;INSTELLINGSNAAM ;CROHO ONDERDEEL;AANTAL DOORSTROMERS
01AA;Landstede;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;28
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
04EU;Regionaal Opleidingen Centrum Kop van Noord-Holland voor VAVO MBO VW;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
08PG;Regionaal Opleidingen Centrum Friese Poort;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;4
25LG;Regionaal Opleidingen Centrum Friesland College;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;2
25LR;Regionaal Opleidingen Centrum van Flevoland;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;2
25LU;Regionaal Opleidingen Centrum Alfa- college;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
25LW;Stichting voor Beroepsonderwijs, Volwasseneneducatie en Voortgezet onderwijs;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;1
25PJ;Deltion College;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;11
27DV;Stichting Regionaal Opleidingen Centrum AVENTUS;zorg en welzijn;BOL;middenkader/specialist;00IC;Katholieke PABO Zwolle;onderwijs;4
01AA;Landstede;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
01AA;Landstede;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
01IC;Agrarisch Opleidingen Centrum Oost;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
01IC;Agrarisch Opleidingen Centrum Oost;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
01NJ;Agrarisch Opleidingscentrum Terra;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
02PA;Stichting Media Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
02PA;Stichting Media Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;17
02PA;Stichting Media Amsterdam;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;10
02PG;Hout en Meubileringscollege Mbo;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
02PG;Hout en Meubileringscollege Mbo;techniek;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
02PK;Nimeto Algemen Bijzondere Scholengemeenschap voor Mbo Kmbo;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;4
02PK;Nimeto Algemen Bijzondere Scholengemeenschap voor Mbo Kmbo;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;5
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;4
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;7
02PN;C I B A P Christelijk MBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;2
04CY;Regionaal Opleidingen Centrum Rivor;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
04FO;Koning Willem I College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
04FO;Koning Willem I College;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;4
08PG;Regionaal Opleidingen Centrum Friese Poort;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;2
13US;Agrarisch Opleidingen Centrum De Groene Welle;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
21CS;CITAVERDE College;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
23JA;Grafisch Lyceum Rotterdam voor MBO en VMBO;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;9
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;13
23KG;Grafisch Lyceum Utrecht;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;techniek;1
23NG;Tio;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
23NG;Tio;techniek;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
24GE;Business School Notenboom;economie;BOL;vakopleiding;00MF;Hogeschool voor de Kunsten Utrecht;economie;1
24ZZ;Regionaal Opleidingen Centrum Graafschap College;zorg en welzijn;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;onderwijs;1
25EF;Clusius College;landbouw;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;taal en cultuur;1
25LF;Regionaal Opleidingen Centrum Rijn IJssel;economie;BOL;middenkader/specialist;00MF;Hogeschool voor de Kunsten Utrecht;economie;3
